city,timestamp,sunrise,sunset,temp_C,temp_min_C,temp_max_C,feels_like_C,pressure,humidity,wind_speed,wind_deg,wind_gust,cloudiness,precipitation_prob,rain_1d,weather_main,weather_description,summary,extracted_at,is_ideal_temp,is_low_rain,is_low_wind,is_ideal_humidity,comfort_score,is_ideal_day,month,year,day_of_week
Antananarivo,2025-07-04 10:41:54.088510,2025-07-04 06:47:10,2025-07-04 17:31:07,22.972,22.184,22.972,22.568,1021.2,53.2,2.12,132.6,2.87,0.0,0.0,0.0,Clear,clear sky,,2025-07-04 10:41:54.088892,True,True,True,True,1.0,True,July,2025,Friday
Mahajanga,2020-01-01 00:00:00.000000,2020-01-01 05:26:00,2020-01-01 18:28:00,25.8,24.6,27.3,30.9,0.0,0.0,5.1,310.0,13.4,0.0,0.0,23.0,Light rain,light rain,,2025-07-04 13:45:42.057542,True,False,False,True,0.4,False,January,2020,Wednesday
Mahajanga,2020-01-02 00:00:00.000000,2020-01-02 05:26:00,2020-01-02 18:29:00,25.4,24.9,26.4,29.9,0.0,0.0,5.1,335.0,12.4,0.0,0.0,93.7,,,,2025-07-04 13:45:42.057542,True,False,False,True,0.4,False,January,2020,Thursday
Mahajanga,2020-01-03 00:00:00.000000,2020-01-03 05:27:00,2020-01-03 18:29:00,25.7,24.6,27.1,30.5,0.0,0.0,4.24,316.0,12.8,0.0,0.0,40.3,,,,2025-07-04 13:45:42.057542,True,False,True,True,0.7,False,January,2020,Friday
Mahajanga,2020-01-04 00:00:00.000000,2020-01-04 05:28:00,2020-01-04 18:29:00,25.9,24.2,27.6,31.1,0.0,0.0,4.84,265.0,11.3,0.0,0.0,11.4,,,,2025-07-04 13:45:42.057542,True,False,True,True,0.7,False,January,2020,Saturday
Mahajanga,2020-01-05 00:00:00.000000,2020-01-05 05:28:00,2020-01-05 18:30:00,26.3,24.0,28.3,31.5,0.0,0.0,3.4,283.0,8.1,0.0,0.0,6.2,,,,2025-07-04 13:45:42.057542,True,False,True,True,0.7,False,January,2020,Sunday
Mahajanga,2020-01-06 00:00:00.000000,2020-01-06 05:29:00,2020-01-06 18:30:00,26.9,23.9,30.2,32.5,0.0,0.0,3.61,7.0,9.8,0.0,0.0,4.7,,,,2025-07-04 13:45:42.057542,True,False,True,True,0.7,False,January,2020,Monday
Mahajanga,2020-01-07 00:00:00.000000,2020-01-07 05:29:00,2020-01-07 18:30:00,26.8,24.3,29.6,32.2,0.0,0.0,4.14,58.0,9.1,0.0,0.0,4.7,Light rain,light rain,,2025-07-04 13:45:42.057542,True,False,True,True,0.7,False,January,2020,Tuesday
Mahajanga,2020-01-08 00:00:00.000000,2020-01-08 05:30:00,2020-01-08 18:31:00,26.9,24.0,30.4,32.6,0.0,0.0,3.96,102.0,9.2,0.0,0.0,5.9,,,,2025-07-04 13:45:42.057542,True,False,True,True,0.7,False,January,2020,Wednesday
Mahajanga,2020-01-09 00:00:00.000000,2020-01-09 05:31:00,2020-01-09 18:31:00,27.2,23.9,30.9,33.1,0.0,0.0,3.08,62.0,9.8,0.0,0.0,12.5,Light rain,light rain,,2025-07-04 13:45:42.057542,True,False,True,True,0.7,False,January,2020,Thursday
