city,timestamp,sunrise,sunset,temp_C,temp_min_C,temp_max_C,feels_like_C,pressure,humidity,wind_speed,wind_deg,wind_gust,cloudiness,precipitation_prob,rain_1d,weather_main,weather_description,summary,extracted_at,is_ideal_temp,is_low_rain,is_low_wind,is_ideal_humidity,comfort_score,is_ideal_day,month,year,day_of_week
Mahajanga,2025-07-04 11:41:44.135105,2025-07-04 06:22:28,2025-07-04 17:35:27,26.24,25.89,26.318,25.526,1019.0,39.4,6.248,118.8,9.94,33.4,0.0,0.0,Clouds,few clouds,,2025-07-04 11:41:44.135624,True,True,False,True,0.7999999999999999,False,July,2025,Friday
New York,2025-06-29 23:33:58.797373,2025-06-29 12:27:39,2025-06-30 03:31:10,32.79,31.66,32.79,34.57,1013.0,45.0,3.04,245.0,4.29,75.0,0.0,0.0,Clouds,broken clouds,,2025-06-29 23:33:58.798693,False,True,True,True,0.6,False,June,2025,Sunday
New York,2025-06-30 18:59:33.704050,2025-06-30 12:28:06,2025-07-01 03:31:05,30.195,29.9,30.195,32.489999999999995,1014.5,56.5,4.83,165.5,4.445,46.0,0.175,0.065,Clouds,scattered clouds,,2025-06-30 18:59:33.704565,False,False,True,True,0.3,False,June,2025,Monday
New York,2025-07-04 11:41:42.923285,2025-07-04 12:30:10,2025-07-05 03:30:26,24.44,23.918,24.88,23.86,1016.4,49.0,4.932,329.8,7.314,0.4,0.0,0.0,Clear,clear sky,,2025-07-04 11:41:42.924125,True,True,True,True,1.0,True,July,2025,Friday
Paris,2025-06-29 23:33:58.139701,2025-06-29 06:49:57,2025-06-29 22:57:56,26.99,24.86,26.99,27.79,1021.0,56.0,2.47,52.0,7.66,0.0,0.0,0.0,Clear,clear sky,,2025-06-29 23:33:58.140364,True,True,True,True,1.0,True,June,2025,Sunday
Paris,2025-06-30 18:59:33.122323,2025-06-30 06:50:31,2025-06-30 22:57:45,32.455,31.17,32.455,31.365,1014.0,29.0,2.155,200.0,2.825,0.0,0.0,0.0,Clear,clear sky,,2025-06-30 18:59:33.122975,False,True,True,False,0.5,False,June,2025,Monday
Paris,2025-07-04 11:41:43.230142,2025-07-04 06:53:14,2025-07-04 22:56:42,23.78,23.7,24.51,23.312,1025.8,30.4,2.534,219.8,3.54,23.6,0.0,0.0,Clear,clear sky,,2025-07-04 11:41:43.230576,True,True,True,True,1.0,True,July,2025,Friday
Toamasina,2025-07-04 11:41:44.439552,2025-07-04 06:14:34,2025-07-04 17:18:36,22.178,21.656,22.178,22.338,1023.8,72.2,5.048,163.8,6.236,48.4,0.484,0.502,Rain,light rain,,2025-07-04 11:41:44.440227,True,False,False,False,0.4,False,July,2025,Friday
Tokyo,2025-06-29 23:33:58.460211,2025-06-29 22:28:20,2025-06-30 13:01:03,25.45,25.45,26.44,26.06,1011.0,77.0,2.36,190.0,2.68,0.0,0.0,0.0,Clear,clear sky,,2025-06-29 23:33:58.460404,True,True,True,False,0.8999999999999999,True,June,2025,Sunday
Tokyo,2025-06-30 18:59:33.414346,2025-06-30 22:28:45,2025-07-01 13:01:01,26.545,26.47,26.545,26.545,1012.5,78.5,2.9,187.0,3.09,17.0,0.0,0.0,Clouds,few clouds,,2025-06-30 18:59:33.414812,True,True,True,False,0.8999999999999999,True,June,2025,Monday
Tokyo,2025-07-04 11:41:43.517050,2025-07-03 22:29:51,2025-07-04 13:00:24,28.436,27.196,28.436,31.368,1005.8,69.6,4.452,205.0,5.696,87.0,0.1,0.048,Clouds,overcast clouds,,2025-07-04 11:41:43.518276,False,False,True,True,0.3,False,July,2025,Friday
Toliara,2025-07-04 11:41:43.834985,2025-07-04 06:47:32,2025-07-04 17:31:33,23.292,22.78,23.292,23.186,1021.2,55.0,2.45,190.0,3.036,0.0,0.0,0.0,Clear,clear sky,,2025-07-04 11:41:43.835488,True,True,True,True,1.0,True,July,2025,Friday
